have a good time!;baw siê dobrze
hold on;poczekaj
pleased to meet you;mi³o ciê poznaæ
actually yes;w³aœnie
how are things?;jak leci? (oczekuje odpowiedzi)
can you repeat, please?;czy mo¿esz powtórzyæ?
bless you;na zdrowie przy kichniêciu, normalnie b³ogos³awiê ciê
here you are;proszê, przy podawaniu
calm down!;uspokój siê
what a pity!;jaka szkoda
come on!;daj spokój
go ahead;przyzwolenie na zrobienie czegoœ
take it easy;nie przejmuj siê
many happy returns of the day;wszystkiego najlepszego
pardon?;s³ucham?
congratulations;gratulacje
certainly;oczywiœcie
help yourself;poczêstuj siê
see you later;do zobaczenia póŸniej
no way!;nie ma mowy
I disagree;nie zgadzam siê
cross fingers!;trzymaj kciuki
lovely!;cudownie
never mind;niewa¿ne
it's strange; to dziwne
I'm in a hurry;spieszê siê
possibly;mo¿liwe
cheer up;rozchmurz siê
I'm honoured;jestem zaszczycony
god damm it;cholera
look out!;uwa¿aj
look out;wygl¹daæ przez okno
enought!;dosyæ!
I doubt it;w¹tpiê
I apologize;przepraszam
I'd rather not;wola³bym nie
follow me, please;chodŸ za mn¹
what does it mean?;co to znaczy?
best wishes;najlepsze ¿yczenia
the same to you;nawzajem
it depends;to zale¿y
it's important;to wa¿ne
it's serious;to powa¿ne
let's do it;zróbmy to
I can manage;poradzê sobie
what a shame;co za wstyd
shame on you;wstydŸ siê
not at all;nie ma za co
not right now;nie teraz
you're welcome;nie ma za co
I beg you pardon?;s³ucham?
thank you in advance;dziêkujê z góry
I don't agree;nie zgadzam siê
take care;uwa¿aj na siebie
I think so;tak mi siê wydaje
with pleasure;z przyjemnoœci¹
I have no idea;nie mam pojêcia
sounds great;brzmi wspaniale
sleep well;œpij dobrze
absolutely;absolutnie
speak up;g³oœniej
just a moment please;chwileczkê proszê
I'm done;skoñczy³em
quite well, thank you;ca³kiem dobrze, dziêkujê
it's ridiculous;to jest nienormalne
are you kidding?;¿artujesz?
keep in touch;b¹dŸmy w kontakcie
I'll do my best;zrobiê co w mojej mocy
please forgive me;wybacz mi proszê
I agree;zgadzam siê
I don't like it;nie podoba mi siê
good luck!;powodzenia!




